lat,lon,Date,data
27.972601,-82.620201,1/2/13,16.52
27.972601,-82.620201,1/2/13,16.82
27.972601,-82.620201,1/2/13,17
27.918501,-82.537903,1/2/13,16.6
27.918501,-82.537903,1/2/13,16.71
27.918501,-82.537903,1/2/13,16.75
27.8902,-82.548798,1/2/13,16.62
27.8902,-82.548798,1/2/13,16.62
27.8902,-82.548798,1/2/13,16.62
27.989901,-82.631599,1/2/13,18.45
27.9687,-82.562103,1/2/13,17.51
27.9687,-82.562103,1/2/13,17.68
27.9687,-82.562103,1/2/13,17.86
27.969999,-82.574303,1/2/13,17.47
27.9676,-82.575996,1/2/13,16.87
27.9676,-82.575996,1/2/13,17.02
27.9676,-82.575996,1/2/13,17.26
27.979401,-82.683296,1/2/13,17.79
27.945601,-82.694298,1/2/13,16.54
27.945601,-82.694298,1/2/13,17.13
27.945601,-82.694298,1/2/13,17.25
27.927799,-82.639702,1/2/13,16.68
27.927799,-82.639702,1/2/13,16.89
27.927799,-82.639702,1/2/13,17.86
27.9002,-82.592003,1/2/13,16.89
27.9002,-82.592003,1/2/13,16.89
27.9002,-82.592003,1/2/13,17.55
27.8519,-82.580803,1/2/13,16.8
27.8519,-82.580803,1/2/13,16.81
27.8519,-82.580803,1/2/13,17.04
30.4540194,-87.3590555,1/2/13,14.4
30.3365278,-87.4308333,1/2/13,14.58
30.3134722,-87.4415278,1/2/13,13.57
30.5806944,-87.1615194,1/2/13,14.14
30.3709805,-87.1778583,1/2/13,11.58
30.373365,-87.0920531,1/2/13,13.72
30.3982194,-87.0483611,1/2/13,14.41
30.3272944,-87.1803888,1/2/13,13.61
30.3838889,-86.8636111,1/2/13,13.52
27.826099,-82.567497,1/2/13,16.78
27.826099,-82.567497,1/2/13,16.68
27.826099,-82.567497,1/2/13,17.32
27.855801,-82.553299,1/2/13,17.47
27.855801,-82.553299,1/2/13,17.17
27.855801,-82.553299,1/2/13,17.17
27.8818,-82.577499,1/2/13,17.28
27.8818,-82.577499,1/2/13,17.3
27.8818,-82.577499,1/2/13,17.3
27.9291,-82.587303,1/2/13,16.5
27.9291,-82.587303,1/2/13,16.71
27.9291,-82.587303,1/2/13,17.52
27.937401,-82.565002,1/2/13,16.54
27.937401,-82.565002,1/2/13,16.57
27.937401,-82.565002,1/2/13,16.62
27.952801,-82.641602,1/2/13,16.4
27.952801,-82.641602,1/2/13,16.54
27.952801,-82.641602,1/2/13,17.31
27.9904,-82.659302,1/2/13,16.65
27.9904,-82.659302,1/2/13,17.19
27.9904,-82.659302,1/2/13,17.45
26.20701,-81.81367,1/3/13,20.81
26.20701,-81.81367,1/3/13,19.8
26.1882,-81.81187,1/3/13,20.86
26.1882,-81.81187,1/3/13,20.23
26.1782,-81.8112,1/3/13,20.4
26.1782,-81.8112,1/3/13,20.25
26.16866,-81.80893,1/3/13,20.06
26.16866,-81.80893,1/3/13,20.33
26.1409,-81.7851,1/7/13,23.5
26.1409,-81.7851,1/7/13,23
